 -0.2000E+00 -0.8000E+00 -0.1000E+01  0.2000E+02
 -0.1000E+00 -0.8000E+00 -0.1000E+01  0.2000E+02
  0.1490E-07 -0.8000E+00 -0.1000E+01  0.2000E+02
  0.1000E+00 -0.8000E+00 -0.1000E+01  0.2000E+02
  0.2000E+00 -0.8000E+00 -0.1000E+01  0.2000E+02
  0.3000E+00 -0.8000E+00 -0.1000E+01  0.2000E+02
  0.4000E+00 -0.8000E+00 -0.1000E+01  0.2000E+02
  0.5000E+00 -0.8000E+00 -0.1000E+01  0.2000E+02
  0.6000E+00 -0.8000E+00 -0.1000E+01  0.2000E+02
  0.7000E+00 -0.8000E+00 -0.1000E+01  0.2000E+02
  0.8000E+00 -0.8000E+00 -0.1000E+01  0.2000E+02
  0.9000E+00 -0.8000E+00 -0.1000E+01  0.2000E+02
  0.1000E+01 -0.8000E+00 -0.1000E+01  0.2000E+02
 -0.1000E+01 -0.7000E+00 -0.1000E+01  0.2000E+02
 -0.9000E+00 -0.7000E+00 -0.1000E+01  0.2000E+02
 -0.8000E+00 -0.7000E+00 -0.1000E+01  0.2000E+02
 -0.7000E+00 -0.7000E+00 -0.1000E+01  0.2000E+02
 -0.6000E+00 -0.7000E+00 -0.1000E+01  0.2000E+02
 -0.5000E+00 -0.7000E+00 -0.1000E+01  0.2000E+02
 -0.4000E+00 -0.7000E+00 -0.1000E+01  0.2000E+02
 -0.3000E+00 -0.7000E+00 -0.1000E+01  0.2000E+02
 -0.2000E+00 -0.7000E+00 -0.1000E+01  0.2000E+02
 -0.1000E+00 -0.7000E+00 -0.1000E+01  0.2000E+02
  0.1490E-07 -0.7000E+00 -0.1000E+01  0.2000E+02
  0.1000E+00 -0.7000E+00 -0.1000E+01  0.2000E+02
  0.2000E+00 -0.7000E+00 -0.1000E+01  0.2000E+02
  0.3000E+00 -0.7000E+00 -0.1000E+01  0.2000E+02
  0.4000E+00 -0.7000E+00 -0.1000E+01  0.2000E+02
  0.5000E+00 -0.7000E+00 -0.1000E+01  0.2000E+02
  0.6000E+00 -0.7000E+00 -0.1000E+01  0.2000E+02
  0.7000E+00 -0.7000E+00 -0.1000E+01  0.2000E+02
  0.8000E+00 -0.7000E+00 -0.1000E+01  0.2000E+02
  0.9000E+00 -0.7000E+00 -0.1000E+01  0.2000E+02
  0.1000E+01 -0.7000E+00 -0.1000E+01  0.2000E+02
 -0.1000E+01 -0.6000E+00 -0.1000E+01  0.2000E+02
 -0.9000E+00 -0.6000E+00 -0.1000E+01  0.2000E+02
 -0.8000E+00 -0.6000E+00 -0.1000E+01  0.2000E+02
 -0.7000E+00 -0.6000E+00 -0.1000E+01  0.2000E+02
 -0.6000E+00 -0.6000E+00 -0.1000E+01  0.2000E+02
 -0.5000E+00 -0.6000E+00 -0.1000E+01  0.2000E+02
 -0.4000E+00 -0.6000E+00 -0.1000E+01  0.2000E+02
 -0.3000E+00 -0.6000E+00 -0.1000E+01  0.2000E+02
 -0.2000E+00 -0.6000E+00 -0.1000E+01  0.2000E+02
 -0.1000E+00 -0.6000E+00 -0.1000E+01  0.2000E+02
  0.1490E-07 -0.6000E+00 -0.1000E+01  0.2000E+02
  0.1000E+00 -0.6000E+00 -0.1000E+01  0.2000E+02
  0.2000E+00 -0.6000E+00 -0.1000E+01  0.2000E+02
  0.3000E+00 -0.6000E+00 -0.1000E+01  0.2000E+02
  0.4000E+00 -0.6000E+00 -0.1000E+01  0.2000E+02
  0.5000E+00 -0.6000E+00 -0.1000E+01  0.2000E+02
  0.6000E+00 -0.6000E+00 -0.1000E+01  0.2000E+02
  0.7000E+00 -0.6000E+00 -0.1000E+01  0.2000E+02
  0.8000E+00 -0.6000E+00 -0.1000E+01  0.2000E+02
  0.9000E+00 -0.6000E+00 -0.1000E+01  0.2000E+02
  0.1000E+01 -0.6000E+00 -0.1000E+01  0.2000E+02
 -0.1000E+01 -0.5000E+00 -0.1000E+01  0.2000E+02
 -0.9000E+00 -0.5000E+00 -0.1000E+01  0.2000E+02
 -0.8000E+00 -0.5000E+00 -0.1000E+01  0.2000E+02
 -0.7000E+00 -0.5000E+00 -0.1000E+01  0.2000E+02
 -0.6000E+00 -0.5000E+00 -0.1000E+01  0.2000E+02
 -0.5000E+00 -0.5000E+00 -0.1000E+01  0.2000E+02
 -0.4000E+00 -0.5000E+00 -0.1000E+01  0.2000E+02
 -0.3000E+00 -0.5000E+00 -0.1000E+01  0.2000E+02
 -0.2000E+00 -0.5000E+00 -0.1000E+01  0.2000E+02
 -0.1000E+00 -0.5000E+00 -0.1000E+01  0.2000E+02
  0.1490E-07 -0.5000E+00 -0.1000E+01  0.2000E+02
  0.1000E+00 -0.5000E+00 -0.1000E+01  0.2000E+02
  0.2000E+00 -0.5000E+00 -0.1000E+01  0.2000E+02
  0.3000E+00 -0.5000E+00 -0.1000E+01  0.2000E+02
  0.4000E+00 -0.5000E+00 -0.1000E+01  0.2000E+02
  0.5000E+00 -0.5000E+00 -0.1000E+01  0.2000E+02
  0.6000E+00 -0.5000E+00 -0.1000E+01  0.2000E+02
  0.7000E+00 -0.5000E+00 -0.1000E+01  0.2000E+02
  0.8000E+00 -0.5000E+00 -0.1000E+01  0.2000E+02
  0.9000E+00 -0.5000E+00 -0.1000E+01  0.2000E+02
  0.1000E+01 -0.5000E+00 -0.1000E+01  0.2000E+02
 -0.1000E+01 -0.4000E+00 -0.1000E+01  0.2000E+02
 -0.9000E+00 -0.4000E+00 -0.1000E+01  0.2000E+02
 -0.8000E+00 -0.4000E+00 -0.1000E+01  0.2000E+02
 -0.7000E+00 -0.4000E+00 -0.1000E+01  0.2000E+02
 -0.6000E+00 -0.4000E+00 -0.1000E+01  0.2000E+02
 -0.5000E+00 -0.4000E+00 -0.1000E+01  0.2000E+02
 -0.4000E+00 -0.4000E+00 -0.1000E+01  0.2000E+02
 -0.3000E+00 -0.4000E+00 -0.1000E+01  0.2000E+02
 -0.2000E+00 -0.4000E+00 -0.1000E+01  0.2000E+02
 -0.1000E+00 -0.4000E+00 -0.1000E+01  0.2000E+02
  0.1490E-07 -0.4000E+00 -0.1000E+01  0.2000E+02
  0.1000E+00 -0.4000E+00 -0.1000E+01  0.2000E+02
  0.2000E+00 -0.4000E+00 -0.1000E+01  0.2000E+02
  0.3000E+00 -0.4000E+00 -0.1000E+01  0.2000E+02
  0.4000E+00 -0.4000E+00 -0.1000E+01  0.2000E+02
  0.5000E+00 -0.4000E+00 -0.1000E+01  0.2000E+02
  0.6000E+00 -0.4000E+00 -0.1000E+01  0.2000E+02
  0.7000E+00 -0.4000E+00 -0.1000E+01  0.2000E+02
  0.8000E+00 -0.4000E+00 -0.1000E+01  0.2000E+02
  0.9000E+00 -0.4000E+00 -0.1000E+01  0.2000E+02
  0.1000E+01 -0.4000E+00 -0.1000E+01  0.2000E+02
 -0.1000E+01 -0.3000E+00 -0.1000E+01  0.2000E+02
 -0.9000E+00 -0.3000E+00 -0.1000E+01  0.2000E+02
 -0.8000E+00 -0.3000E+00 -0.1000E+01  0.2000E+02
 -0.7000E+00 -0.3000E+00 -0.1000E+01  0.2000E+02
 -0.6000E+00 -0.3000E+00 -0.1000E+01  0.2000E+02
 -0.5000E+00 -0.3000E+00 -0.1000E+01  0.2000E+02
 -0.4000E+00 -0.3000E+00 -0.1000E+01  0.2000E+02
 -0.3000E+00 -0.3000E+00 -0.1000E+01  0.2000E+02
 -0.2000E+00 -0.3000E+00 -0.1000E+01  0.2000E+02
 -0.1000E+00 -0.3000E+00 -0.1000E+01  0.2000E+02
  0.1490E-07 -0.3000E+00 -0.1000E+01  0.2000E+02
  0.1000E+00 -0.3000E+00 -0.1000E+01  0.2000E+02
  0.2000E+00 -0.3000E+00 -0.1000E+01  0.2000E+02
  0.3000E+00 -0.3000E+00 -0.1000E+01  0.2000E+02
  0.4000E+00 -0.3000E+00 -0.1000E+01  0.2000E+02
  0.5000E+00 -0.3000E+00 -0.1000E+01  0.2000E+02
  0.6000E+00 -0.3000E+00 -0.1000E+01  0.2000E+02
  0.7000E+00 -0.3000E+00 -0.1000E+01  0.2000E+02
  0.8000E+00 -0.3000E+00 -0.1000E+01  0.2000E+02
  0.9000E+00 -0.3000E+00 -0.1000E+01  0.2000E+02
  0.1000E+01 -0.3000E+00 -0.1000E+01  0.2000E+02
 -0.1000E+01 -0.2000E+00 -0.1000E+01  0.2000E+02
 -0.9000E+00 -0.2000E+00 -0.1000E+01  0.2000E+02
 -0.8000E+00 -0.2000E+00 -0.1000E+01  0.2000E+02
 -0.7000E+00 -0.2000E+00 -0.1000E+01  0.2000E+02
 -0.6000E+00 -0.2000E+00 -0.1000E+01  0.2000E+02
 -0.5000E+00 -0.2000E+00 -0.1000E+01  0.2000E+02
 -0.4000E+00 -0.2000E+00 -0.1000E+01  0.2000E+02
 -0.3000E+00 -0.2000E+00 -0.1000E+01  0.2000E+02
 -0.2000E+00 -0.2000E+00 -0.1000E+01  0.2000E+02
 -0.1000E+00 -0.2000E+00 -0.1000E+01  0.2000E+02
  0.1490E-07 -0.2000E+00 -0.1000E+01  0.2000E+02
  0.1000E+00 -0.2000E+00 -0.1000E+01  0.2000E+02
  0.2000E+00 -0.2000E+00 -0.1000E+01  0.2000E+02
  0.3000E+00 -0.2000E+00 -0.1000E+01  0.2000E+02
  0.4000E+00 -0.2000E+00 -0.1000E+01  0.2000E+02
  0.5000E+00 -0.2000E+00 -0.1000E+01  0.2000E+02
  0.6000E+00 -0.2000E+00 -0.1000E+01  0.2000E+02
  0.7000E+00 -0.2000E+00 -0.1000E+01  0.2000E+02
  0.8000E+00 -0.2000E+00 -0.1000E+01  0.2000E+02
  0.9000E+00 -0.2000E+00 -0.1000E+01  0.2000E+02
  0.1000E+01 -0.2000E+00 -0.1000E+01  0.2000E+02
 -0.1000E+01 -0.1000E+00 -0.1000E+01  0.2000E+02
 -0.9000E+00 -0.1000E+00 -0.1000E+01  0.2000E+02
 -0.8000E+00 -0.1000E+00 -0.1000E+01  0.2000E+02
 -0.7000E+00 -0.1000E+00 -0.1000E+01  0.2000E+02
 -0.6000E+00 -0.1000E+00 -0.1000E+01  0.2000E+02
 -0.5000E+00 -0.1000E+00 -0.1000E+01  0.2000E+02
 -0.4000E+00 -0.1000E+00 -0.1000E+01  0.2000E+02
 -0.3000E+00 -0.1000E+00 -0.1000E+01  0.2000E+02
 -0.2000E+00 -0.1000E+00 -0.1000E+01  0.2000E+02
 -0.1000E+00 -0.1000E+00 -0.1000E+01  0.2000E+02
  0.1490E-07 -0.1000E+00 -0.1000E+01  0.2000E+02
  0.1000E+00 -0.1000E+00 -0.1000E+01  0.2000E+02
  0.2000E+00 -0.1000E+00 -0.1000E+01  0.2000E+02
  0.3000E+00 -0.1000E+00 -0.1000E+01  0.2000E+02
  0.4000E+00 -0.1000E+00 -0.1000E+01  0.2000E+02
  0.5000E+00 -0.1000E+00 -0.1000E+01  0.2000E+02
  0.6000E+00 -0.1000E+00 -0.1000E+01  0.2000E+02
  0.7000E+00 -0.1000E+00 -0.1000E+01  0.2000E+02
  0.8000E+00 -0.1000E+00 -0.1000E+01  0.2000E+02
  0.9000E+00 -0.1000E+00 -0.1000E+01  0.2000E+02
  0.1000E+01 -0.1000E+00 -0.1000E+01  0.2000E+02
 -0.1000E+01  0.1490E-07 -0.1000E+01  0.2000E+02
 -0.9000E+00  0.1490E-07 -0.1000E+01  0.2000E+02
 -0.8000E+00  0.1490E-07 -0.1000E+01  0.2000E+02
 -0.7000E+00  0.1490E-07 -0.1000E+01  0.2000E+02
 -0.6000E+00  0.1490E-07 -0.1000E+01  0.2000E+02
 -0.5000E+00  0.1490E-07 -0.1000E+01  0.2000E+02
 -0.4000E+00  0.1490E-07 -0.1000E+01  0.2000E+02
 -0.3000E+00  0.1490E-07 -0.1000E+01  0.2000E+02
 -0.2000E+00  0.1490E-07 -0.1000E+01  0.2000E+02
 -0.1000E+00  0.1490E-07 -0.1000E+01  0.2000E+02
  0.1490E-07  0.1490E-07 -0.1000E+01  0.2000E+02
  0.1000E+00  0.1490E-07 -0.1000E+01  0.2000E+02
  0.2000E+00  0.1490E-07 -0.1000E+01  0.2000E+02
  0.3000E+00  0.1490E-07 -0.1000E+01  0.2000E+02
  0.4000E+00  0.1490E-07 -0.1000E+01  0.2000E+02
  0.5000E+00  0.1490E-07 -0.1000E+01  0.2000E+02
  0.6000E+00  0.1490E-07 -0.1000E+01  0.2000E+02
  0.7000E+00  0.1490E-07 -0.1000E+01  0.2000E+02
  0.8000E+00  0.1490E-07 -0.1000E+01  0.2000E+02
  0.9000E+00  0.1490E-07 -0.1000E+01  0.2000E+02
  0.1000E+01  0.1490E-07 -0.1000E+01  0.2000E+02
 -0.1000E+01  0.1000E+00 -0.1000E+01  0.2000E+02
 -0.9000E+00  0.1000E+00 -0.1000E+01  0.2000E+02
 -0.8000E+00  0.1000E+00 -0.1000E+01  0.2000E+02
 -0.7000E+00  0.1000E+00 -0.1000E+01  0.2000E+02
 -0.6000E+00  0.1000E+00 -0.1000E+01  0.2000E+02
 -0.5000E+00  0.1000E+00 -0.1000E+01  0.2000E+02
 -0.4000E+00  0.1000E+00 -0.1000E+01  0.2000E+02
 -0.3000E+00  0.1000E+00 -0.1000E+01  0.2000E+02
 -0.2000E+00  0.1000E+00 -0.1000E+01  0.2000E+02
 -0.1000E+00  0.1000E+00 -0.1000E+01  0.2000E+02
  0.1490E-07  0.1000E+00 -0.1000E+01  0.2000E+02
  0.1000E+00  0.1000E+00 -0.1000E+01  0.2000E+02
  0.2000E+00  0.1000E+00 -0.1000E+01  0.2000E+02
  0.3000E+00  0.1000E+00 -0.1000E+01  0.2000E+02
  0.4000E+00  0.1000E+00 -0.1000E+01  0.2000E+02
  0.5000E+00  0.1000E+00 -0.1000E+01  0.2000E+02
  0.6000E+00  0.1000E+00 -0.1000E+01  0.2000E+02
  0.7000E+00  0.1000E+00 -0.1000E+01  0.2000E+02
  0.8000E+00  0.1000E+00 -0.1000E+01  0.2000E+02
  0.9000E+00  0.1000E+00 -0.1000E+01  0.2000E+02
  0.1000E+01  0.1000E+00 -0.1000E+01  0.2000E+02
 -0.1000E+01  0.2000E+00 -0.1000E+01  0.2000E+02
 -0.9000E+00  0.2000E+00 -0.1000E+01  0.2000E+02
 -0.8000E+00  0.2000E+00 -0.1000E+01  0.2000E+02
 -0.7000E+00  0.2000E+00 -0.1000E+01  0.2000E+02
 -0.6000E+00  0.2000E+00 -0.1000E+01  0.2000E+02
 -0.5000E+00  0.2000E+00 -0.1000E+01  0.2000E+02
 -0.4000E+00  0.2000E+00 -0.1000E+01  0.2000E+02
 -0.3000E+00  0.2000E+00 -0.1000E+01  0.2000E+02
 -0.2000E+00  0.2000E+00 -0.1000E+01  0.2000E+02
 -0.1000E+00  0.2000E+00 -0.1000E+01  0.2000E+02
  0.1490E-07  0.2000E+00 -0.1000E+01  0.2000E+02
  0.1000E+00  0.2000E+00 -0.1000E+01  0.2000E+02
  0.2000E+00  0.2000E+00 -0.1000E+01  0.2000E+02
  0.3000E+00  0.2000E+00 -0.1000E+01  0.2000E+02
  0.4000E+00  0.2000E+00 -0.1000E+01  0.2000E+02
  0.5000E+00  0.2000E+00 -0.1000E+01  0.2000E+02
  0.6000E+00  0.2000E+00 -0.1000E+01  0.2000E+02
  0.7000E+00  0.2000E+00 -0.1000E+01  0.2000E+02
  0.8000E+00  0.2000E+00 -0.1000E+01  0.2000E+02
  0.9000E+00  0.2000E+00 -0.1000E+01  0.2000E+02
  0.1000E+01  0.2000E+00 -0.1000E+01  0.2000E+02
 -0.1000E+01  0.3000E+00 -0.1000E+01  0.2000E+02
 -0.9000E+00  0.3000E+00 -0.1000E+01  0.2000E+02
 -0.8000E+00  0.3000E+00 -0.1000E+01  0.2000E+02
 -0.7000E+00  0.3000E+00 -0.1000E+01  0.2000E+02
 -0.6000E+00  0.3000E+00 -0.1000E+01  0.2000E+02
 -0.5000E+00  0.3000E+00 -0.1000E+01  0.2000E+02
 -0.4000E+00  0.3000E+00 -0.1000E+01  0.2000E+02
 -0.3000E+00  0.3000E+00 -0.1000E+01  0.2000E+02
 -0.2000E+00  0.3000E+00 -0.1000E+01  0.2000E+02
 -0.1000E+00  0.3000E+00 -0.1000E+01  0.2000E+02
  0.1490E-07  0.3000E+00 -0.1000E+01  0.2000E+02
  0.1000E+00  0.3000E+00 -0.1000E+01  0.2000E+02
  0.2000E+00  0.3000E+00 -0.1000E+01  0.2000E+02
  0.3000E+00  0.3000E+00 -0.1000E+01  0.2000E+02
  0.4000E+00  0.3000E+00 -0.1000E+01  0.2000E+02
  0.5000E+00  0.3000E+00 -0.1000E+01  0.2000E+02
  0.6000E+00  0.3000E+00 -0.1000E+01  0.2000E+02
  0.7000E+00  0.3000E+00 -0.1000E+01  0.2000E+02
  0.8000E+00  0.3000E+00 -0.1000E+01  0.2000E+02
  0.9000E+00  0.3000E+00 -0.1000E+01  0.2000E+02
  0.1000E+01  0.3000E+00 -0.1000E+01  0.2000E+02
 -0.1000E+01  0.4000E+00 -0.1000E+01  0.2000E+02
 -0.9000E+00  0.4000E+00 -0.1000E+01  0.2000E+02
 -0.8000E+00  0.4000E+00 -0.1000E+01  0.2000E+02
 -0.7000E+00  0.4000E+00 -0.1000E+01  0.2000E+02
 -0.6000E+00  0.4000E+00 -0.1000E+01  0.2000E+02
 -0.5000E+00  0.4000E+00 -0.1000E+01  0.2000E+02
 -0.4000E+00  0.4000E+00 -0.1000E+01  0.2000E+02
 -0.3000E+00  0.4000E+00 -0.1000E+01  0.2000E+02
 -0.2000E+00  0.4000E+00 -0.1000E+01  0.2000E+02
 -0.1000E+00  0.4000E+00 -0.1000E+01  0.2000E+02
  0.1490E-07  0.4000E+00 -0.1000E+01  0.2000E+02
  0.1000E+00  0.4000E+00 -0.1000E+01  0.2000E+02
  0.2000E+00  0.4000E+00 -0.1000E+01  0.2000E+02
  0.3000E+00  0.4000E+00 -0.1000E+01  0.2000E+02
  0.4000E+00  0.4000E+00 -0.1000E+01  0.2000E+02
  0.5000E+00  0.4000E+00 -0.1000E+01  0.2000E+02
  0.6000E+00  0.4000E+00 -0.1000E+01  0.2000E+02
  0.7000E+00  0.4000E+00 -0.1000E+01  0.2000E+02
  0.8000E+00  0.4000E+00 -0.1000E+01  0.2000E+02
  0.9000E+00  0.4000E+00 -0.1000E+01  0.2000E+02
  0.1000E+01  0.4000E+00 -0.1000E+01  0.2000E+02
 -0.1000E+01  0.5000E+00 -0.1000E+01  0.2000E+02
 -0.9000E+00  0.5000E+00 -0.1000E+01  0.2000E+02
 -0.8000E+00  0.5000E+00 -0.1000E+01  0.2000E+02
 -0.7000E+00  0.5000E+00 -0.1000E+01  0.2000E+02
 -0.6000E+00  0.5000E+00 -0.1000E+01  0.2000E+02
 -0.5000E+00  0.5000E+00 -0.1000E+01  0.2000E+02
 -0.4000E+00  0.5000E+00 -0.1000E+01  0.2000E+02
 -0.3000E+00  0.5000E+00 -0.1000E+01  0.2000E+02
 -0.2000E+00  0.5000E+00 -0.1000E+01  0.2000E+02
 -0.1000E+00  0.5000E+00 -0.1000E+01  0.2000E+02
  0.1490E-07  0.5000E+00 -0.1000E+01  0.2000E+02
  0.1000E+00  0.5000E+00 -0.1000E+01  0.2000E+02
  0.2000E+00  0.5000E+00 -0.1000E+01  0.2000E+02
  0.3000E+00  0.5000E+00 -0.1000E+01  0.2000E+02
  0.4000E+00  0.5000E+00 -0.1000E+01  0.2000E+02
  0.5000E+00  0.5000E+00 -0.1000E+01  0.2000E+02
  0.6000E+00  0.5000E+00 -0.1000E+01  0.2000E+02
  0.7000E+00  0.5000E+00 -0.1000E+01  0.2000E+02
  0.8000E+00  0.5000E+00 -0.1000E+01  0.2000E+02
  0.9000E+00  0.5000E+00 -0.1000E+01  0.2000E+02
  0.1000E+01  0.5000E+00 -0.1000E+01  0.2000E+02
 -0.1000E+01  0.6000E+00 -0.1000E+01  0.2000E+02
 -0.9000E+00  0.6000E+00 -0.1000E+01  0.2000E+02
 -0.8000E+00  0.6000E+00 -0.1000E+01  0.2000E+02
 -0.7000E+00  0.6000E+00 -0.1000E+01  0.2000E+02
 -0.6000E+00  0.6000E+00 -0.1000E+01  0.2000E+02
 -0.5000E+00  0.6000E+00 -0.1000E+01  0.2000E+02
 -0.4000E+00  0.6000E+00 -0.1000E+01  0.2000E+02
 -0.3000E+00  0.6000E+00 -0.1000E+01  0.2000E+02
 -0.2000E+00  0.6000E+00 -0.1000E+01  0.2000E+02
 -0.1000E+00  0.6000E+00 -0.1000E+01  0.2000E+02
  0.1490E-07  0.6000E+00 -0.1000E+01  0.2000E+02
  0.1000E+00  0.6000E+00 -0.1000E+01  0.2000E+02
  0.2000E+00  0.6000E+00 -0.1000E+01  0.2000E+02
  0.3000E+00  0.6000E+00 -0.1000E+01  0.2000E+02
  0.4000E+00  0.6000E+00 -0.1000E+01  0.2000E+02
  0.5000E+00  0.6000E+00 -0.1000E+01  0.2000E+02
  0.6000E+00  0.6000E+00 -0.1000E+01  0.2000E+02
  0.7000E+00  0.6000E+00 -0.1000E+01  0.2000E+02
  0.8000E+00  0.6000E+00 -0.1000E+01  0.2000E+02
  0.9000E+00  0.6000E+00 -0.1000E+01  0.2000E+02
  0.1000E+01  0.6000E+00 -0.1000E+01  0.2000E+02
 -0.1000E+01  0.7000E+00 -0.1000E+01  0.2000E+02
 -0.9000E+00  0.7000E+00 -0.1000E+01  0.2000E+02
 -0.8000E+00  0.7000E+00 -0.1000E+01  0.2000E+02
 -0.7000E+00  0.7000E+00 -0.1000E+01  0.2000E+02
 -0.6000E+00  0.7000E+00 -0.1000E+01  0.2000E+02
 -0.5000E+00  0.7000E+00 -0.1000E+01  0.2000E+02
 -0.4000E+00  0.7000E+00 -0.1000E+01  0.2000E+02
 -0.3000E+00  0.7000E+00 -0.1000E+01  0.2000E+02
 -0.2000E+00  0.7000E+00 -0.1000E+01  0.2000E+02
 -0.1000E+00  0.7000E+00 -0.1000E+01  0.2000E+02
  0.1490E-07  0.7000E+00 -0.1000E+01  0.2000E+02
  0.1000E+00  0.7000E+00 -0.1000E+01  0.2000E+02
  0.2000E+00  0.7000E+00 -0.1000E+01  0.2000E+02
  0.3000E+00  0.7000E+00 -0.1000E+01  0.2000E+02
  0.4000E+00  0.7000E+00 -0.1000E+01  0.2000E+02
  0.5000E+00  0.7000E+00 -0.1000E+01  0.2000E+02
  0.6000E+00  0.7000E+00 -0.1000E+01  0.2000E+02
  0.7000E+00  0.7000E+00 -0.1000E+01  0.2000E+02
  0.8000E+00  0.7000E+00 -0.1000E+01  0.2000E+02
  0.9000E+00  0.7000E+00 -0.1000E+01  0.2000E+02
  0.1000E+01  0.7000E+00 -0.1000E+01  0.2000E+02
 -0.1000E+01  0.8000E+00 -0.1000E+01  0.2000E+02
 -0.9000E+00  0.8000E+00 -0.1000E+01  0.2000E+02
 -0.8000E+00  0.8000E+00 -0.1000E+01  0.2000E+02
 -0.7000E+00  0.8000E+00 -0.1000E+01  0.2000E+02
 -0.6000E+00  0.8000E+00 -0.1000E+01  0.2000E+02
 -0.5000E+00  0.8000E+00 -0.1000E+01  0.2000E+02
 -0.4000E+00  0.8000E+00 -0.1000E+01  0.2000E+02
 -0.3000E+00  0.8000E+00 -0.1000E+01  0.2000E+02
 -0.2000E+00  0.8000E+00 -0.1000E+01  0.2000E+02
 -0.1000E+00  0.8000E+00 -0.1000E+01  0.2000E+02
  0.1490E-07  0.8000E+00 -0.1000E+01  0.2000E+02
  0.1000E+00  0.8000E+00 -0.1000E+01  0.2000E+02
  0.2000E+00  0.8000E+00 -0.1000E+01  0.2000E+02
  0.3000E+00  0.8000E+00 -0.1000E+01  0.2000E+02
  0.4000E+00  0.8000E+00 -0.1000E+01  0.2000E+02
  0.5000E+00  0.8000E+00 -0.1000E+01  0.2000E+02
  0.6000E+00  0.8000E+00 -0.1000E+01  0.2000E+02
  0.7000E+00  0.8000E+00 -0.1000E+01  0.2000E+02
  0.8000E+00  0.8000E+00 -0.1000E+01  0.2000E+02
  0.9000E+00  0.8000E+00 -0.1000E+01  0.2000E+02
  0.1000E+01  0.8000E+00 -0.1000E+01  0.2000E+02
